poi_reference_station_id,poi_id,poi_name,poi_distance,poi_source,poi_rating,poi_price_level,poi_total_reviews,poi_location,poi_primary_category,poi_sub_category
0001cd599fc5f3ae6cfa5474779cd94f,4b6dcb34f964a52076902ce3,Curry Baude,115,foursquare,85.0,1.0,38.0,"Badstr. 1-5, 13357 Berlin",Restaurant,Fast Food Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,4b8d0776f964a520f1e432e3,La Femme,251,foursquare,86.0,2.0,14.0,"Badstr. 67 (Hochstr.), 13357 Berlin",Restaurant,Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,4beb27466295c9b6ce5c8708,Offside,566,foursquare,90.0,2.0,23.0,"Jülicher Str. 4, 13357 Berlin",Bar,Sports Bar
0001cd599fc5f3ae6cfa5474779cd94f,4b705ad5f964a520d6142de3,Shalimar Restaurant,406,foursquare,81.0,2.0,24.0,"Bellermannstr. 17a, 13357 Berlin",Restaurant,Indian Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,4e72d880196b52816e04af8b,Studio8,380,foursquare,79.0,1.0,11.0,"Grüntaler Str. 8, 13357 Berlin",Bar,Bar
0001cd599fc5f3ae6cfa5474779cd94f,5609736b498e62a807c00e49,Akko,602,foursquare,81.0,,17.0,"Pankstr. 52, 13357 Berlin",Restaurant,Fast Food Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,55e2ec42498eae67c1bc4d32,Dilekerei,635,foursquare,81.0,,12.0,"Eulerstr. 11b (Jülicher Str.), 13357 Berlin",Restaurant,Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,57092132498eaefd5f87a3d3,Örnek,702,foursquare,82.0,,14.0,"Prinzenallee 80-82, 13357 Berlin",Restaurant,Pide Place
0001cd599fc5f3ae6cfa5474779cd94f,5097b589e4b0cb50cd84649b,Café Pförtner,999,foursquare,84.0,2.0,49.0,"Uferstr. 8, 13357 Berlin",Restaurant,Italian Restaurant
0001cd599fc5f3ae6cfa5474779cd94f,4f3fdcd4e4b045d4ecba4da3,Imren Grill 2,744,foursquare,80.0,1.0,12.0,"Buttmannstr. 1 (Buttmannstr. 1), 13357 Berlin",Restaurant,Turkish Restaurant
0007f94b88fd0f810e3f5435363bb0de,51c6f175498e16a8c1e01a66,Else,314,foursquare,86.0,,15.0,"An den Treptowers 10, 12435 Berlin",Bar,Beer Bar
0007f94b88fd0f810e3f5435363bb0de,55fc8c2a498ef74c223f6c24,Krass Böser Wolf,606,foursquare,88.0,1.0,21.0,"Markgrafendamm 36, 10245 Berlin",Bar,Bar
0007f94b88fd0f810e3f5435363bb0de,4adcda79f964a520a24621e3,Club der Visionäre,804,foursquare,88.0,2.0,176.0,"Am Flutgraben 1 (Schlesische Str.), 12435 Berlin",Bar,Lounge
0007f94b88fd0f810e3f5435363bb0de,58c70a1fe18e65428b9ef279,Mom's Creation,603,foursquare,82.0,2.0,22.0,"Elsenstr. 27 (Kiefholzstr.), 12435 Berlin",Restaurant,Vegan and Vegetarian Restaurant
