13003,Dining and Drinking,Bar,,
13004,Dining and Drinking,Bar,Apres Ski Bar,
13005,Dining and Drinking,Bar,Beach Bar,
13006,Dining and Drinking,Bar,Beer Bar,
13007,Dining and Drinking,Bar,Beer Garden,
13008,Dining and Drinking,Bar,Champagne Bar,
13009,Dining and Drinking,Bar,Cocktail Bar,
13010,Dining and Drinking,Bar,Dive Bar,
13011,Dining and Drinking,Bar,Gay Bar,
13012,Dining and Drinking,Bar,Hookah Bar,
13013,Dining and Drinking,Bar,Hotel Bar,
13014,Dining and Drinking,Bar,Ice Bar,
13015,Dining and Drinking,Bar,Karaoke Bar,
13016,Dining and Drinking,Bar,Lounge,
13017,Dining and Drinking,Bar,Piano Bar,
13018,Dining and Drinking,Bar,Pub,
13019,Dining and Drinking,Bar,Rooftop Bar,
13020,Dining and Drinking,Bar,Sake Bar,
13021,Dining and Drinking,Bar,Speakeasy,
13022,Dining and Drinking,Bar,Sports Bar,
13023,Dining and Drinking,Bar,Tiki Bar,
13024,Dining and Drinking,Bar,Whisky Bar,
13025,Dining and Drinking,Bar,Wine Bar,
13059,Dining and Drinking,Juice Bar,,
13246,Dining and Drinking,Restaurant,Italian Restaurant,Lombard Restaurant
13389,Dining and Drinking,Bar,Irish Pub,
